Player Name,Position,Short Name,F to M,M to F,M to D,D to M,Position (new),Starts,total_points,Points (new position),NAP,NAPPS,Cost,True Cost
Wijnaldum,3,LIV,,,,,3,33,103,103,37,1.12,55,
Willems,2,NEW,,,,,2,16,62,62,30,1.88,#N/A,
Williams,2,LIV,,,,,2,2,11,11,7,3.50,40,
Williams,2,MUN,,,,,2,11,45,45,23,2.09,40,
Willian,3,CHE,,,,,3,28,157,157,101,3.61,80,
Willock,3,ARS,,,,,3,5,11,11,1,0.20,50,
Winks,3,TOT,,,,,3,24,45,45,-3,-0.13,55,
Wood,4,BUR,,,,,4,27,131,131,77,2.85,65,
Xhaka,3,ARS,,,,,3,29,71,71,13,0.45,55,
Yarmolenko,3,WHU,,,,,3,8,44,44,28,3.50,60,
Yedlin,2,NEW,,,,,2,8,20,20,4,0.50,45,
Yoshida,2,SOU,,,,,2,6,8,8,-4,-0.67,#N/A,
Young,2,MUN,,,,,2,10,22,22,2,0.20,#N/A,
Zabaleta,2,WHU,,,,,2,6,6,6,-6,-1.00,#N/A,
Zaha,3,CRY,,,,,3,36,118,118,46,1.28,70,
Zimmermann,2,NOR,,,,,2,15,33,33,3,0.20,#N/A,
Zinchenko,2,MCI,,,,,2,12,47,47,23,1.92,55,
Zouma,2,CHE,,,,,2,24,60,60,12,0.50,50,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
